Item,Price
Toasted White Chocolate Mocha Frappuccino®,$5.66
Caramel Ribbon Crunch Crème Frappuccino Blended Beverage,$6.83
Rogged caramel FRAPPUCCINO BLEDED BEVERAGE,$6.66
White Chocolate Crème Frappuccino®,$5.77
Sugar Cookie Almondmilk Crème Frappuccino Blended Beverage,$6.75
Strawberry Frappuccino® Blended Beverage Crème,$6.32
Double Chocolaty Chip Crème Frappuccino Blended Beverage,$6.26
Chai Creme Frappuccino,$6.25
Matcha Green Tea Crème Frappuccino® Blended Beverage,$5.11
Pumpkin Spice Crème Frappuccino®,$5.52
Matcha Crème Frappuccino Blended Beverage,$6.41
White Chocolate Crème Frappuccino Blended Beverage,$6.27
Pistachio Frappuccino Blended Beverage,$6.82
Chai Crème Frappuccino® Blended Beverage,$5.07
Chestnut Praline Frappuccino Blended Beverage,$6.78
Apple Crisp Oatmilk Crème Frappuccino Blended Beverage,$6.84
Brurled caramel FRAPPUCCINO BLEDED BEVERAGE,$6.76
Chestnut Praline Crème Frappuccino Blended Beverage,$6.76
Pistachio Crème Frappuccino Blended Beverage,$6.82
Peppermint Mocha Crème Frappuccino Blended Beverage,$6.78
Peppermint White Chocolate Crème Frappuccino Blended Beverage,$6.78
Peppermint Mocha Frappuccino Blended Beverage,$6.70
Peppermint White Chocolate Mocha Frappuccino Blended Beverage,$6.70
Pumpkin Spice Frappuccino Blended Beverage,$6.78
Toasted White Chocolate Créme Frappuccino®,$5.59
Vanilla Bean Crème Frappuccino Blended Crème,$5.88
Classic Chai Tea Latte Hot,$4.39
Full-Leaf Brewed Tea Hot,$2.43
Green Tea Latte,$4.11
Java Chip Frappuccino,$4.77
Coffee Frappuccino,$5.02
Strawberry Frappuccino,$4.53
Double Chocolaty Chip Creme Frappuccino,$4.70
Salted Caramel Mocha Creme Frappuccino,$5.13
Iced Matcha Lemonade,$4.39
Iced Matcha Tea Latte,$5.87
Blended Strawberry Lemonade,$5.85
Iced Lavender Cream Oatmilk Matcha,$6.54
Iced Matcha Latte,$6.04
Iced Pumpkin Cream Chai,$6.85
Iced Nondairy Salted Caramel Cookie Matcha,$6.84
Iced Apple Crisp Nondairy Cream Chai,$6.84
Iced Chai Tea Latte,$4.78
Iced Tea,$2.26
Iced Gingerbread Oatmilk Chai,$6.69
Iced Black Tea,$3.09
Iced Pumpkin Cream Chai Tea Latte,$6.40
Iced Black Tea Lemonade,$3.95
Pineapple Black Tea Infusion,$3.74
Iced Royal English Breakfast Tea Latte,$4.67
Iced London Fog Tea Latte,$5.05
Chipotle,$3.25
Strawberry Green Tea Infusion,$3.74
Iced Blueberry Black Tea Lemonade,$3.78
Pina Colada Tea Infusion,$4.37
Matcha Lemonade,$3.95
Pineapple Black Tea Infusion Lemonade,$3.75
Iced Matcha Green Tea Latte,$4.11
Iced Green Tea,$3.12
Iced Green Tea Lemonade,$3.80
Strawberry Green Tea Infusion Lemonade,$4.36
Iced Peach Green Tea,$3.38
Iced Peach Green Tea Lemonade,$3.86
Iced Chai Latte,$5.42
Iced Passion Tango Tea,$3.27
Iced Passion Tango Tea Lemonade,$3.75
Iced White Tea,$2.52
Iced Passion Tango™ Lemonade,$4.13
Peach Citrus White Tea Infusion,$3.75
Iced White Tea Lemonade,$3.30
Iced Guava White Tea,$3.25
Iced Guava White Tea Lemonade,$3.80
Peach Citrus White Tea Infusion Lemonade,$4.36
Helada Chai,$4.40
Teavana Pineapple Berry Iced Tea,$4.40
Teavana® Chai Tea,$3.03
Chai milk,$5.19
Matcha Green Tea Latte,$3.94
Matcha Tea Latte,$5.47
Matcha Latte,$5.71
Chai Tea Latte,$4.64
Earl Grey Black Tea,$2.85
Honey Citrus Mint Tea,$3.71
Gingerbread Oatmilk Chai,$6.31
Royal English Breakfast Black Tea,$2.52
London Fog Tea Latte,$4.95
Royal English Breakfast Tea Latte,$4.97
Emperor's Cloud and Mist® Green Tea,$3.02
Jade Citrus Mint™ Brewed Tea,$3.02
Peach Tranquility® Herbal Tea,$3.03
Mint Majesty™ Herbal Tea,$3.02
Comfort Wellness Brewed Tea,$3.02
Citrus Defender,$3.71
Defense Wellness Brewed Tea,$3.02
Cold Milk,$4.10
Mango Dragonfruit Lemonade Starbucks Refreshers,$3.85
Ethos Bottled Water,$3.09
Very Berry Hibiscus Starbucks Refreshers™,$3.56
Pink Drink,$4.42
Mango Dragonfruit Starbucks Refreshers™,$3.46
Strawberry Açaí Starbucks Refreshers® Iced Beverage,$4.03
Violet Drink,$5.19
Strawberry Acai Lemonade Starbucks Refreshers® Iced Beverage,$4.53
Strawberry Acai Lemonade Starbucks Refreshers®,$4.32
Very Berry Hibiscus Lemonade Starbucks Refreshers®,$4.70
Very Berry Hibiscus Lemonade Starbucks Refreshers® Iced Beverage,$4.53
Dragon Drink,$4.89
Lemonade,$3.04
Starbucks BAYA Energy Mango Guava,$3.75
Milk,$2.88
Evolution Fresh Organic Vital Berry,$5.76
Starbucks BAYA Energy Raspberry Lime,$3.75
Evolution Fresh Mighty Watermelon,$5.77
Galvanina Sparkling Water,$2.91
Bag of Salted Chips,$1.75
Brew DR. Island Mango Kombucha,$4.78
Brew DR. Superberry Kombucha,$4.78
Spindrift Lemon Sparkling Water,$3.25
Tree Top Apple Juice Box,$3.16
Koia Vanilla Bean Protein Shake,$6.00
Horizon Chocolate Organic Milk,$3.40
Koia Cacao Bean Protein Shake,$6.00
Water Bottle,$2.25
Chicken & Double-Smoked Bacon Sandwich,$8.88
Chicken & Double-Smoked Bacon Sandwich Lunch,$9.21
Chicken and Bacon on Brioche,$8.30
Crispy Grilled Cheese Sandwich,$6.87
Tomato & Mozzarella Sandwich Lunch,$8.18
Tomato and Mozzarella on Focaccia,$7.81
Tomato & Mozzarella Sandwich,$7.78
Chicken Caprese Sandwich Lunch,$9.21
Cheddar and Uncured Salami Protein Box,$7.83
Chicken Caprese,$7.59
Turkey & Basil Pesto Sandwich Lunch,$8.60
"Turkey, Provolone and Pesto on Ciabatta",$8.68
Ham & Swiss Panini Lunch,$9.21
Ham and Swiss on Baguette,$8.93
Cheese Trio Protein Box,$7.74
Eggs and Gouda Protein Box,$7.79
Turkey & Basil Pesto,$8.32
Crispy Grilled Cheese on Sourdough,$7.97
Ham & Swiss Panini,$7.98
Eggs and Cheddar Protein Box,$7.85
Eggs & Cheese Protein Box,$6.97
Cheese and Fruit Protein Box,$7.54
PBandJ Protein Box,$6.85
Smoked Turkey Protein Box,$9.34
Chicken and Hummus Protein Box,$7.86
Chicken Wrap Protein Box,$9.35
Chickpea Bites and Avocado Protein Box,$7.85
Chipotle Chicken Wrap Protein Box,$9.35
Chicken & Quinoa Protein Bowl with Black Beans and Greens,$9.74
"Bacon, Gouda, & Egg Breakfast Sandwich",$5.48
"Bacon, Gouda and Egg Sandwich",$5.31
Reduced-Fat Turkey Bacon and Cage Free Egg White Sandwich,$4.30
"Turkey Bacon, Cheddar and Egg White Sandwich",$5.75
"Spicy Chorizo, Monterey Jack & Egg Sandwich",$5.79
Impossible Breakfast Sandwich,$6.93
"Spinach, Feta and Cage Free Egg White Wrap",$3.99
"Double-Smoked Bacon, Cheddar and Egg Sandwich",$6.36
"Spinach, Feta and Egg White Wrap",$5.74
"Sausage, Cheddar and Egg Sandwich",$4.71
Chicken Sausage & Bacon Biscuit,$6.57
Egg White and Roasted Red Pepper Egg Bites,$6.28
"Sausage, Cheddar & Egg Breakfast Sandwich",$5.21
Bacon and Gruyère Egg Bites,$6.27
"Potato, Cheddar and Chive Bakes",$6.65
Avocado Spread,$1.61
Kale and Mushroom Egg Bites,$6.28
"Bacon, Sausage and Egg Wrap",$7.67
"Chicken, Maple Butter and Egg Sandwich",$6.59
Sous Vide Egg Bites: Egg White & Red Pepper,$6.03
Sous Vide Egg Bites: Bacon & Gruyere,$5.84
"Egg, Pesto and Mozzarella Sandwich",$6.30
Hearty Blueberry Oatmeal,$3.92
Egg White & Roasted Red Pepper Sous Vide Egg Bites,$5.25
Classic Oatmeal,$4.33
Sous Vide Egg Bites: Chicken Chorizo Tortilla,$6.22
"Sous Vide Egg Bites: Ham, Cheddar & Peppers",$5.85
"Spicy Chorizo, Monterey Jack & Egg Breakfast Sandwich",$6.50
"Spinach, Feta, & Cage-Free Egg White Breakfast Wrap",$5.49
Madeleines,$3.04
Vanilla Biscotti with Almonds,$2.43
Shortbread Cookies,$2.25
2 Pack Dark Chocolate Grahams,$3.10
Perfectly Salted Chips,$2.12
Dark Chocolate Covered Espresso Beans,$3.25
Dipped Madeleines,$3.55
Goodie Girl Mint Slims,$3.92
Starbucks® Chocolate Cranberries,$9.15
Rip van Wafels – Honey & Oats,$2.25
Justin's - Dark Chocolate Peanut Butter Cups,$2.83
Justin's® Dark Chocolate Peanut Butter Cups,$2.65
Coffee Traveler,$3.15
Dorga Money on Honey Caramels,$3.96
Salted Almond Chocolate Bites,$3.22
Banana,$1.51
Spearmint Gum,$2.91
SkinnyDipped Dark Chocolate Cocoa Almonds,$3.55
Squirrel - Fruit & Nut,$2.25
Starbucks® Bourbon Flavored Caramels,$9.15
Starbucks® Hot Cocoa Tin,$14.95
Squirrel Brand Fruit and Nut,$2.53
SkinnyDipped Lemon Bliss Almonds,$3.55
Squirrel - Classic Almonds,$2.25
Squirrel Brand® – Classic Almonds,$2.25
Siete Sea Salt Kettle Cooked Potato Chips,$3.15
Peter Rabbit Organics - Apple & Grape,$2.91
Siete Lime Grain Free Tortilla Chips,$3.15
Starbucks Butter Popcorn,$1.75
Peter Rabbit Organics Strawberry Banana,$2.82
Peppermint Gum,$3.00
KIND Salted Caramel and Dark Chocolate Nut Bar,$2.73
Butter Gourmet Popcorn,$1.96
Peppermint Mints,$3.89
Perfect Bar - Dark Chocolate Chip Peanut Butter,$4.76
BBQ chips,$2.36
Starbucks® BBQ Potato Chips,$1.95
Bare Fruit Medley,$5.23
Simply Salted Kettle Chips,$2.12
Simply Salted Kettle Potato Chips,$1.95
Hippeas - White Cheddar,$2.33
Salt & Vinegar Kettle Chips,$2.36
Salt and Vinegar Kettle Potato Chips,$1.95
Sweet Potato Kettle Chips,$2.36
Sweet Potato Kettle Potato Chips,$1.95
Moon Cheese™ –  Cheddar,$5.75
String Cheese,$2.13
Country Archer - Hickory Smoked Turkey Jerky,$9.36
Country Archer – Hickory Smoked Turkey Jerkey,$7.95
Hippie Snacks Sesame Snap Coconut Clusters,$5.02
Creminelli Snack Tray - Sopressata Salami & Monterey Jack,$7.08
Creminelli Sopressata Monterey Jack Snack Tray,$7.13
Creminelli Sporessata Monterey Jack Snack Tray,$7.97
Babybel® Mini Cheese Snack,$1.17
Country Archer – Original Beef Jerky,$7.95
This Bar Saves Lives™ – Dark Chocolate Peanut Butter & Sea Salt Bar,$2.85
